thickness (cm);count
0.001875;9038
0.00375;8261
0.005625;7483
0.0075;6722
0.009375;6169
0.01125;5607
0.013125;5092
0.015;4635
0.016875;4172
0.01875;3798
0.020625;3557
0.0225;3149
0.024375;2842
0.02625;2583
0.028125;2443
0.03;2127
0.031875;1989
0.03375;1766
0.035625;1596
0.0375;1478
0.039375;1306
0.04125;1190
0.043125;1061
0.045;994
0.046875;898
0.04875;809
0.050625;671
0.0525;670
0.054375;638
0.05625;545
0.058125;483
0.06;474
0.061875;432
0.06375;363
0.065625;313
0.0675;322
0.069375;312
0.07125;269
0.073125;243
0.075;240
