thickness (cm);count
0.1;9095
0.2;8333
0.3;7569
0.4;6829
0.5;6295
0.6;5797
0.7;5253
0.8;4802
0.9;4309
1;3932
1.1;3698
1.2;3284
1.3;2986
1.4;2733
1.5;2565
1.6;2251
1.7;2100
1.8;1877
1.9;1718
2;1602
2.1;1417
2.2;1301
2.3;1183
2.4;1106
2.5;987
2.6;877
2.7;770
2.8;755
2.9;713
3;628
3.1;559
3.2;551
3.3;476
3.4;428
3.5;366
3.6;363
3.7;332
3.8;309
3.9;272
4;284
