thickness (cm);count
0.425;9563
0.85;9216
1.275;8756
1.7;8372
2.125;8084
2.55;7762
2.975;7417
3.4;7173
3.825;6722
4.25;6533
4.675;6329
5.1;5919
5.525;5665
5.95;5573
6.375;5257
6.8;4924
7.225;4811
7.65;4520
8.075;4335
8.5;4282
8.925;4044
9.35;3861
9.775;3740
10.2;3550
10.625;3467
11.05;3268
11.475;3082
11.9;3027
12.325;2919
12.75;2796
13.175;2574
13.6;2581
14.025;2488
14.45;2333
14.875;2176
15.3;2118
15.725;2028
16.15;2044
16.575;1839
17;1830
