thickness (cm);count
0.375;9391
0.75;8907
1.125;8353
1.5;7845
1.875;7466
2.25;7118
2.625;6637
3;6352
3.375;5808
3.75;5583
4.125;5333
4.5;4917
4.875;4654
5.25;4510
5.625;4164
6;3883
6.375;3711
6.75;3411
7.125;3248
7.5;3148
7.875;2919
8.25;2747
8.625;2621
9;2459
9.375;2361
9.75;2205
10.125;2039
10.5;1977
10.875;1879
11.25;1744
11.625;1575
12;1579
12.375;1474
12.75;1380
13.125;1270
13.5;1206
13.875;1153
14.25;1188
14.625;1015
15;1009
