thickness (cm);count
0.4;9351
0.8;8843
1.2;8237
1.6;7712
2;7329
2.4;6954
2.8;6457
3.2;6160
3.6;5604
4;5363
4.4;5097
4.8;4703
5.2;4434
5.6;4266
6;3944
6.4;3666
6.8;3483
7.2;3170
7.6;3030
8;2917
8.4;2710
8.8;2566
9.2;2381
9.6;2241
10;2128
10.4;1943
10.8;1828
11.2;1766
11.6;1660
12;1560
12.4;1385
12.8;1403
13.2;1299
13.6;1226
14;1127
14.4;1055
14.8;1016
15.2;1019
15.6;868
16;872
