thickness (cm);count
0.0225;9026
0.045;8185
0.0675;7395
0.09;6613
0.1125;6048
0.135;5521
0.1575;4978
0.18;4541
0.2025;4073
0.225;3652
0.2475;3366
0.27;3000
0.2925;2736
0.315;2442
0.3375;2295
0.36;2062
0.3825;1885
0.405;1654
0.4275;1485
0.45;1386
0.4725;1205
0.495;1108
0.5175;976
0.54;908
0.5625;843
0.585;732
0.6075;644
0.63;632
0.6525;583
0.675;495
0.6975;444
0.72;429
0.7425;374
0.765;352
0.7875;296
0.81;278
0.8325;269
0.855;230
0.8775;208
0.9;205
