thickness (cm);count
0.125;9083
0.25;8318
0.375;7573
0.5;6814
0.625;6287
0.75;5766
0.875;5241
1;4788
1.125;4280
1.25;3920
1.375;3692
1.5;3287
1.625;2993
1.75;2719
1.875;2572
2;2229
2.125;2096
2.25;1864
2.375;1688
2.5;1577
2.625;1410
2.75;1286
2.875;1156
3;1080
3.125;986
3.25;861
3.375;750
3.5;733
3.625;710
3.75;609
3.875;545
4;529
4.125;468
4.25;415
4.375;374
4.5;353
4.625;334
4.75;303
4.875;284
5;288
