thickness (cm);count
0.0025;9149
0.005;8461
0.0075;7745
0.01;7071
0.0125;6566
0.015;6113
0.0175;5593
0.02;5167
0.0225;4649
0.025;4308
0.0275;4087
0.03;3653
0.0325;3349
0.035;3116
0.0375;2921
0.04;2569
0.0425;2453
0.045;2202
0.0475;2056
0.05;1941
0.0525;1742
0.055;1604
0.0575;1477
0.06;1364
0.0625;1254
0.065;1133
0.0675;989
0.07;997
0.0725;914
0.075;824
0.0775;737
0.08;728
0.0825;667
0.085;586
0.0875;504
0.09;529
0.0925;489
0.095;451
0.0975;393
0.1;395
