thickness (cm);count
0.15;9444
0.3;8986
0.45;8461
0.6;7982
0.75;7625
0.9;7265
1.05;6849
1.2;6564
1.35;6039
1.5;5822
1.65;5556
1.8;5170
1.95;4883
2.1;4751
2.25;4456
2.4;4162
2.55;3972
2.7;3641
2.85;3481
3;3391
3.15;3175
3.3;2998
3.45;2868
3.6;2695
3.75;2622
3.9;2442
4.05;2259
4.2;2192
4.35;2110
4.5;1966
4.65;1771
4.8;1792
4.95;1665
5.1;1576
5.25;1466
5.4;1373
5.55;1303
5.7;1343
5.85;1168
6;1172
