thickness (cm);count
0.175;9358
0.35;8849
0.525;8242
0.7;7722
0.875;7341
1.05;6960
1.225;6473
1.4;6169
1.575;5607
1.75;5373
1.925;5105
2.1;4716
2.275;4447
2.45;4274
2.625;3951
2.8;3678
2.975;3492
3.15;3175
3.325;3029
3.5;2926
3.675;2711
3.85;2566
4.025;2394
4.2;2246
4.375;2132
4.55;1954
4.725;1837
4.9;1766
5.075;1665
5.25;1557
5.425;1390
5.6;1407
5.775;1299
5.95;1228
6.125;1131
6.3;1062
6.475;1016
6.65;1018
6.825;874
7;869
