thickness (cm);count
0.15;9196
0.3;8540
0.45;7834
0.6;7151
0.75;6667
0.9;6224
1.05;5685
1.2;5305
1.35;4746
1.5;4407
1.65;4181
1.8;3746
1.95;3454
2.1;3242
2.25;3000
2.4;2686
2.55;2559
2.7;2274
2.85;2131
3;2028
3.15;1822
3.3;1703
3.45;1577
3.6;1452
3.75;1325
3.9;1213
4.05;1091
4.2;1052
4.35;992
4.5;894
4.65;793
4.8;782
4.95;699
5.1;654
5.25;556
5.4;548
5.55;514
5.7;487
5.85;416
6;427
