thickness (cm);count
0.125;9108
0.25;8366
0.375;7644
0.5;6904
0.625;6408
0.75;5898
0.875;5360
1;4929
1.125;4427
1.25;4061
1.375;3842
1.5;3412
1.625;3128
1.75;2861
1.875;2707
2;2364
2.125;2215
2.25;1994
2.375;1805
2.5;1696
2.625;1516
2.75;1398
2.875;1275
3;1185
3.125;1077
3.25;951
3.375;849
3.5;828
3.625;786
3.75;689
3.875;621
4;607
4.125;523
4.25;469
4.375;425
4.5;409
4.625;387
4.75;349
4.875;323
5;314
