thickness (cm);count
0.1;9242
0.2;8672
0.3;7994
0.4;7385
0.5;6973
0.6;6541
0.7;6009
0.8;5704
0.9;5125
1;4815
1.1;4618
1.2;4185
1.3;3909
1.4;3667
1.5;3392
1.6;3096
1.7;2976
1.8;2659
1.9;2493
2;2424
2.1;2224
2.2;2063
2.3;1916
2.4;1777
2.5;1649
2.6;1538
2.7;1372
2.8;1340
2.9;1265
3;1156
3.1;1041
3.2;1049
3.3;931
3.4;868
3.5;766
3.6;765
3.7;707
3.8;679
3.9;599
4;587
