thickness (cm);count
0.375;9496
0.75;9089
1.125;8593
1.5;8163
1.875;7826
2.25;7496
2.625;7091
3;6830
3.375;6361
3.75;6140
4.125;5899
4.5;5491
4.875;5216
5.25;5103
5.625;4780
6;4493
6.375;4321
6.75;3994
7.125;3846
7.5;3758
7.875;3545
8.25;3344
8.625;3226
9;3068
9.375;2975
9.75;2766
10.125;2599
10.5;2521
10.875;2443
11.25;2292
11.625;2101
12;2116
12.375;1996
12.75;1873
13.125;1730
13.5;1686
13.875;1611
14.25;1617
14.625;1421
15;1447
