thickness (cm);count
0.325;9326
0.65;8785
0.975;8150
1.3;7607
1.625;7185
1.95;6805
2.275;6307
2.6;5994
2.925;5426
3.25;5175
3.575;4902
3.9;4506
4.225;4246
4.55;4059
4.875;3727
5.2;3436
5.525;3258
5.85;2961
6.175;2815
6.5;2711
6.825;2509
7.15;2350
7.475;2197
7.8;2065
8.125;1942
8.45;1791
8.775;1627
9.1;1585
9.425;1500
9.75;1396
10.075;1241
10.4;1265
10.725;1141
11.05;1090
11.375;985
11.7;934
12.025;902
12.35;897
12.675;737
13;751
