thickness (cm);count
0.2;9137
0.4;8436
0.6;7689
0.8;6992
1;6471
1.2;6005
1.4;5463
1.6;5051
1.8;4512
2;4149
2.2;3939
2.4;3506
2.6;3209
2.8;2969
3;2766
3.2;2453
3.4;2319
3.6;2070
3.8;1921
4;1820
4.2;1623
4.4;1482
4.6;1356
4.8;1277
5;1147
5.2;1031
5.4;896
5.6;894
5.8;823
6;743
6.2;674
6.4;653
6.6;579
6.8;530
7;441
7.2;452
7.4;419
7.6;392
7.8;346
8;344
