thickness (cm);count
0.1;9005
0.2;8144
0.3;7341
0.4;6566
0.5;5997
0.6;5413
0.7;4890
0.8;4408
0.9;3956
1;3559
1.1;3309
1.2;2908
1.3;2641
1.4;2332
1.5;2208
1.6;1946
1.7;1785
1.8;1582
1.9;1407
2;1304
2.1;1141
2.2;1019
2.3;940
2.4;819
2.5;767
2.6;664
2.7;576
2.8;578
2.9;543
3;434
3.1;406
3.2;376
3.3;342
3.4;302
3.5;267
3.6;260
3.7;254
3.8;189
3.9;194
4;187
