thickness (cm);count
0.005;8811
0.01;7875
0.015;7001
0.02;6124
0.025;5499
0.03;4872
0.035;4300
0.04;3838
0.045;3463
0.05;3019
0.055;2752
0.06;2380
0.065;2106
0.07;1849
0.075;1728
0.08;1449
0.085;1340
0.09;1175
0.095;1003
0.1;898
0.105;790
0.11;694
0.115;594
0.12;542
0.125;489
0.13;445
0.135;363
0.14;363
0.145;305
0.15;276
0.155;233
0.16;210
0.165;224
0.17;173
0.175;145
0.18;148
0.185;129
0.19;106
0.195;94
0.2;85
