thickness (cm);count
0.1;8982
0.2;8114
0.3;7269
0.4;6487
0.5;5881
0.6;5322
0.7;4772
0.8;4293
0.9;3833
1;3434
1.1;3170
1.2;2783
1.3;2507
1.4;2246
1.5;2098
1.6;1839
1.7;1702
1.8;1486
1.9;1336
2;1217
2.1;1055
2.2;938
2.3;858
2.4;769
2.5;710
2.6;616
2.7;524
2.8;526
2.9;485
3;399
3.1;365
3.2;346
3.3;311
3.4;281
3.5;230
3.6;227
3.7;216
3.8;181
3.9;163
4;165
