thickness (cm);count
0.001875;9026
0.00375;8234
0.005625;7437
0.0075;6691
0.009375;6100
0.01125;5534
0.013125;5053
0.015;4556
0.016875;4120
0.01875;3700
0.020625;3466
0.0225;3062
0.024375;2752
0.02625;2504
0.028125;2365
0.03;2074
0.031875;1920
0.03375;1725
0.035625;1542
0.0375;1402
0.039375;1241
0.04125;1137
0.043125;1022
0.045;921
0.046875;839
0.04875;769
0.050625;640
0.0525;649
0.054375;596
0.05625;522
0.058125;462
0.06;445
0.061875;420
0.06375;359
0.065625;301
0.0675;302
0.069375;278
0.07125;248
0.073125;220
0.075;231
