thickness (cm);count
0.001875;8964
0.00375;8101
0.005625;7268
0.0075;6478
0.009375;5884
0.01125;5306
0.013125;4772
0.015;4287
0.016875;3848
0.01875;3442
0.020625;3182
0.0225;2811
0.024375;2500
0.02625;2247
0.028125;2130
0.03;1849
0.031875;1686
0.03375;1499
0.035625;1350
0.0375;1206
0.039375;1070
0.04125;955
0.043125;861
0.045;771
0.046875;708
0.04875;630
0.050625;542
0.0525;530
0.054375;488
0.05625;406
0.058125;380
0.06;347
0.061875;324
0.06375;270
0.065625;230
0.0675;235
0.069375;221
0.07125;164
0.073125;168
0.075;162
