thickness (cm);count
0.2;9533
0.4;9146
0.6;8666
0.8;8264
1;7950
1.2;7610
1.4;7249
1.6;6977
1.8;6505
2;6298
2.2;6074
2.4;5666
2.6;5404
2.8;5280
3;4985
3.2;4668
3.4;4512
3.6;4182
3.8;4048
4;3955
4.2;3743
4.4;3541
4.6;3443
4.8;3255
5;3167
5.2;2959
5.4;2792
5.6;2711
5.8;2611
6;2489
6.2;2286
6.4;2321
6.6;2171
6.8;2033
7;1892
7.2;1838
7.4;1773
7.6;1797
7.8;1574
8;1585
